Length real,Diameter real,Height real,Whole_weight real,Shucked_weight real,Viscera_weight real,Shell_weight rea,Class
0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,negative
0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,negative
0.45,0.32,0.1,0.381,0.1705,0.075,0.115,negative
0.55,0.415,0.135,0.7635,0.318,0.21,0.2,negative
0.355,0.29,0.09,0.3275,0.134,0.086,0.09,negative
0.45,0.335,0.105,0.425,0.1865,0.091,0.115,negative
0.47,0.37,0.12,0.5795,0.293,0.227,0.14,negative
0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,negative
0.505,0.405,0.11,0.625,0.305,0.16,0.175,negative
0.595,0.475,0.14,0.944,0.3625,0.189,0.315,negative
0.575,0.445,0.14,0.941,0.3845,0.252,0.285,negative
0.46,0.355,0.13,0.517,0.2205,0.114,0.165,negative
0.535,0.435,0.15,0.725,0.269,0.1385,0.25,negative
0.51,0.39,0.135,0.6335,0.231,0.179,0.2,negative
0.435,0.395,0.105,0.3635,0.136,0.098,0.13,negative
0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,negative
0.465,0.36,0.105,0.431,0.172,0.107,0.175,negative
0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,negative
0.425,0.35,0.105,0.393,0.13,0.063,0.165,negative
0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,negative
0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,negative
0.44,0.35,0.125,0.4035,0.175,0.063,0.129,negative
0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,negative
0.405,0.325,0.11,0.3555,0.151,0.063,0.117,negative
0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,negative
0.28,0.205,0.08,0.127,0.052,0.039,0.042,negative
0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,negative
0.585,0.46,0.17,0.9325,0.365,0.271,0.29,negative
0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,negative
0.44,0.34,0.14,0.482,0.186,0.1085,0.16,negative
0.4,0.3,0.11,0.315,0.109,0.067,0.12,negative
0.5,0.405,0.14,0.6155,0.241,0.1355,0.205,negative
0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,negative
0.49,0.375,0.15,0.5755,0.22,0.144,0.19,negative
0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,negative
0.295,0.225,0.08,0.124,0.0485,0.032,0.04,negative
0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,negative
0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,negative
0.455,0.355,0.12,0.4495,0.177,0.104,0.15,negative
0.44,0.355,0.125,0.4775,0.132,0.0815,0.19,negative
0.37,0.28,0.105,0.234,0.0905,0.0585,0.075,negative
0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,negative
0.525,0.42,0.16,0.756,0.2745,0.173,0.275,negative
0.58,0.455,0.17,0.93,0.408,0.259,0.22,negative
0.455,0.37,0.105,0.4925,0.216,0.1245,0.135,negative
0.465,0.375,0.12,0.471,0.222,0.119,0.14,negative
0.365,0.295,0.095,0.25,0.1075,0.0545,0.08,negative
0.485,0.365,0.12,0.5885,0.27,0.131,0.175,negative
0.515,0.455,0.135,0.7225,0.295,0.1625,0.235,negative
0.39,0.3,0.09,0.3055,0.143,0.0645,0.085,negative
0.56,0.455,0.19,0.714,0.283,0.129,0.275,negative
0.36,0.28,0.105,0.199,0.0695,0.045,0.08,negative
0.53,0.44,0.135,0.7835,0.313,0.1715,0.2185,negative
0.43,0.34,0.12,0.3575,0.151,0.0645,0.1045,negative
0.465,0.35,0.115,0.421,0.1565,0.091,0.1345,negative
0.4,0.29,0.115,0.2795,0.1115,0.0575,0.075,negative
0.365,0.26,0.115,0.218,0.0935,0.0445,0.07,negative
0.385,0.3,0.095,0.24,0.0885,0.059,0.085,negative
0.435,0.335,0.11,0.38,0.1695,0.086,0.11,negative
0.485,0.39,0.125,0.591,0.287,0.141,0.12,negative
0.37,0.29,0.115,0.25,0.111,0.057,0.075,negative
0.55,0.43,0.14,0.7135,0.2565,0.186,0.225,negative
0.345,0.27,0.09,0.195,0.078,0.0455,0.059,negative
0.325,0.24,0.075,0.155,0.0475,0.0355,0.06,negative
0.31,0.225,0.075,0.1295,0.0455,0.0335,0.044,negative
0.475,0.365,0.115,0.49,0.223,0.1235,0.1335,negative
0.47,0.36,0.13,0.5225,0.198,0.1065,0.165,negative
0.36,0.295,0.1,0.2105,0.066,0.0525,0.075,negative
0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105,negative
0.48,0.375,0.145,0.777,0.216,0.13,0.17,negative
0.475,0.36,0.125,0.447,0.1695,0.081,0.14,negative
0.38,0.29,0.12,0.283,0.1175,0.0655,0.085,negative
0.445,0.33,0.105,0.4525,0.18,0.103,0.123,negative
0.4,0.3,0.125,0.417,0.191,0.09,0.1175,negative
0.35,0.255,0.08,0.1915,0.08,0.0385,0.063,negative
0.52,0.385,0.14,0.6595,0.2485,0.2035,0.16,negative
0.345,0.27,0.095,0.197,0.0665,0.05,0.07,negative
0.455,0.34,0.135,0.462,0.1675,0.158,0.12,negative
0.515,0.39,0.13,0.5755,0.1975,0.13,0.1845,negative
0.505,0.39,0.16,0.644,0.2475,0.2025,0.1635,negative
0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,negative
0.44,0.335,0.11,0.394,0.157,0.096,0.122,negative
0.425,0.33,0.13,0.4405,0.152,0.0935,0.155,negative
0.44,0.365,0.115,0.501,0.2435,0.084,0.1465,negative
0.475,0.365,0.125,0.5465,0.229,0.1185,0.172,negative
0.485,0.355,0.105,0.498,0.2175,0.096,0.1525,negative
0.495,0.41,0.125,0.7555,0.3355,0.129,0.214,negative
0.5,0.4,0.125,0.5975,0.27,0.1275,0.166,negative
0.54,0.405,0.125,0.891,0.4815,0.1915,0.202,negative
0.555,0.435,0.145,0.9685,0.4985,0.168,0.2385,negative
0.57,0.455,0.15,0.952,0.3895,0.2155,0.2745,negative
0.575,0.465,0.14,0.958,0.442,0.1815,0.2705,negative
0.59,0.475,0.165,1.077,0.4545,0.244,0.3095,negative
0.605,0.455,0.16,1.1035,0.421,0.3015,0.325,negative
0.615,0.51,0.15,1.296,0.545,0.3315,0.32,negative
0.62,0.5,0.165,1.307,0.6355,0.2545,0.315,negative
0.635,0.51,0.17,1.3555,0.619,0.305,0.39,negative
0.635,0.485,0.165,1.2945,0.668,0.2605,0.2715,negative
0.655,0.52,0.165,1.4095,0.586,0.291,0.405,negative
0.675,0.525,0.155,1.4785,0.628,0.3405,0.42,negative
0.475,0.37,0.125,0.537,0.222,0.1215,0.15,negative
0.505,0.39,0.13,0.674,0.3165,0.141,0.1785,negative
0.505,0.41,0.125,0.642,0.289,0.133,0.155,negative
0.55,0.445,0.155,0.9905,0.544,0.178,0.218,negative
0.55,0.43,0.14,0.8105,0.368,0.161,0.275,negative
0.56,0.455,0.16,0.967,0.4525,0.207,0.274,negative
0.575,0.475,0.16,1.114,0.4955,0.2745,0.29,negative
0.575,0.46,0.16,1.103,0.538,0.221,0.249,negative
0.58,0.49,0.13,1.1335,0.586,0.2565,0.237,negative
0.595,0.475,0.165,1.213,0.621,0.2435,0.274,negative
0.595,0.46,0.14,1.0045,0.4655,0.2095,0.2515,negative
0.595,0.455,0.15,1.044,0.518,0.2205,0.27,negative
0.605,0.49,0.15,1.1345,0.5265,0.2645,0.295,negative
0.605,0.475,0.155,1.161,0.572,0.2455,0.275,negative
0.625,0.5,0.165,1.288,0.573,0.3035,0.315,negative
0.625,0.485,0.2,1.38,0.5845,0.302,0.401,negative
0.65,0.495,0.16,1.304,0.57,0.312,0.3725,negative
0.655,0.46,0.16,1.494,0.6895,0.331,0.1825,negative
0.66,0.535,0.19,1.5905,0.6425,0.297,0.5175,negative
0.5,0.375,0.12,0.542,0.215,0.116,0.17,negative
0.51,0.4,0.125,0.5575,0.2615,0.1195,0.1525,negative
0.52,0.4,0.145,0.7765,0.3525,0.1845,0.185,negative
0.525,0.4,0.14,0.601,0.2625,0.1285,0.1835,negative
