A1,A2,A3,A4,A5,A6,A7,A8,A9,Class
49,0,79,0,46,-5,30,32,2,negative
41,1,86,3,42,6,45,45,0,negative
50,-4,83,0,50,0,33,34,2,negative
48,1,81,-1,46,0,33,34,2,negative
45,0,86,0,44,-10,41,42,2,negative
37,0,79,0,26,-4,42,53,12,negative
37,0,81,0,38,7,43,42,0,negative
43,0,81,0,42,-10,37,39,2,negative
43,0,77,10,42,-34,34,36,2,negative
44,0,79,-2,44,0,35,35,0,negative
44,4,82,-7,44,1,38,38,0,negative
37,0,76,0,34,13,39,42,4,negative
62,0,109,0,62,23,48,47,0,negative
49,-4,107,-1,50,0,58,58,0,negative
41,1,108,0,42,10,66,66,0,negative
43,0,86,0,44,21,43,42,0,negative
45,-4,81,1,44,-21,36,37,2,negative
37,0,104,-2,16,-14,67,89,22,negative
49,-1,86,0,50,4,37,37,0,negative
66,0,109,0,68,4,43,42,0,negative
37,2,97,0,34,-2,60,64,4,negative
56,0,89,0,56,0,33,32,0,negative
50,0,110,1,50,0,60,61,2,negative
37,0,81,5,34,1,43,47,4,negative
44,1,86,0,44,22,42,42,0,negative
37,0,78,-4,28,0,41,50,8,negative
57,0,82,5,56,0,25,25,0,negative
56,0,95,0,54,1,39,41,2,negative
37,0,106,0,24,-2,69,83,14,negative
54,1,82,0,54,0,28,28,0,negative
37,0,106,0,24,-13,68,82,14,negative
37,0,76,0,34,19,39,43,4,negative
37,0,95,0,10,14,58,84,26,negative
37,0,77,0,38,4,39,38,0,negative
45,0,106,0,46,14,61,60,0,negative
48,0,95,0,46,0,47,49,2,negative
54,-2,78,-1,54,0,24,24,0,negative
45,0,93,0,44,-4,48,50,2,negative
53,1,78,0,52,-7,25,26,2,negative
49,0,88,1,50,19,40,39,0,negative
49,0,88,0,46,-6,39,41,2,negative
43,0,81,-5,42,-1,37,39,2,negative
51,-2,87,0,50,-13,36,38,2,negative
56,4,91,0,56,6,35,34,0,negative
37,0,104,-1,16,-5,67,88,22,negative
37,0,78,0,2,11,42,75,34,negative
41,0,88,0,42,1,47,47,0,negative
44,1,108,0,44,3,64,64,0,negative
37,0,100,0,30,-3,64,69,6,negative
46,4,87,0,44,-19,41,43,2,negative
42,-1,87,0,42,0,45,46,2,negative
37,0,83,0,0,3,46,83,36,negative
46,0,81,1,46,8,35,35,0,negative
44,2,88,0,44,12,44,44,0,negative
41,3,76,0,42,13,35,35,0,negative
37,0,81,3,34,1,43,47,4,negative
37,0,82,-3,8,0,45,74,30,negative
44,0,86,-1,44,8,42,42,0,negative
37,0,80,0,10,29,43,70,26,negative
44,3,77,0,44,23,33,33,0,negative
38,1,76,0,38,11,38,37,0,negative
50,0,78,-6,50,0,29,29,0,negative
46,0,100,0,44,-11,54,56,2,negative
40,0,80,0,38,2,40,41,2,negative
47,5,84,0,46,0,37,38,0,negative
43,5,90,0,42,0,47,49,2,negative
43,0,78,0,42,-1,35,37,2,negative
45,0,81,0,46,5,36,35,0,negative
37,0,77,7,16,7,40,61,22,negative
45,0,86,7,44,0,42,42,0,negative
41,-1,76,0,38,-14,35,37,2,negative
45,1,76,-2,44,-4,31,32,0,negative
41,0,84,2,38,-4,43,45,2,negative
56,0,86,0,54,-30,30,32,2,negative
37,0,77,-1,20,-4,40,56,16,negative
44,0,82,-5,44,-1,38,38,0,negative
39,-5,76,-1,-2,0,37,79,42,negative
38,0,82,0,38,11,44,43,0,negative
39,0,106,6,38,0,68,67,0,negative
42,-3,86,0,42,0,45,45,0,negative
44,-2,86,0,44,0,42,42,0,negative
37,0,100,0,30,-11,64,69,6,negative
48,-4,84,0,46,-1,36,38,2,negative
57,0,88,0,56,0,31,31,0,negative
47,0,88,-2,46,0,40,41,0,negative
37,0,83,0,8,14,46,75,30,negative
39,-1,78,-5,38,0,39,39,0,negative
37,-1,79,-3,20,-7,42,58,16,negative
37,0,104,0,18,21,67,86,18,negative
44,0,85,0,44,16,41,41,0,negative
38,-5,97,0,38,0,59,59,0,negative
41,0,77,0,38,-1,37,39,2,negative
45,0,88,0,44,-6,42,44,2,negative
53,0,108,0,52,-7,55,56,2,negative
51,4,79,0,52,14,27,27,0,negative
39,0,76,-2,38,0,36,37,0,negative
36,-5,81,0,36,0,45,45,0,negative
56,1,86,0,54,-8,31,32,2,negative
51,1,88,0,50,-7,36,39,2,negative
58,2,86,0,56,0,28,29,2,negative
46,1,86,0,44,-12,41,42,2,negative
39,-1,79,-3,38,0,40,41,0,negative
37,0,106,0,34,-1,69,72,4,negative
44,-8,88,0,44,0,44,44,0,negative
43,0,77,-2,42,0,34,35,2,negative
40,4,90,0,38,0,49,51,2,negative
37,0,83,0,8,19,47,75,28,negative
45,0,81,0,46,19,36,35,0,negative
59,0,87,0,60,18,28,28,0,negative
37,0,82,0,26,-15,45,56,10,negative
37,0,83,0,30,24,46,52,6,negative
56,-5,107,0,56,3,51,50,0,negative
37,0,80,4,28,0,43,52,8,negative
49,3,88,0,50,0,39,39,0,negative
36,3,75,0,36,0,39,39,0,negative
42,5,102,0,42,0,60,60,0,negative
42,0,86,-5,42,0,45,45,0,negative
43,0,108,0,42,-2,64,66,2,negative
55,-3,90,0,54,-12,34,35,2,negative
44,0,75,-1,44,9,31,31,0,negative
41,0,86,3,42,20,46,45,0,negative
37,0,76,0,20,17,40,55,16,negative
37,-54,106,-2,36,0,69,69,0,negative
48,5,88,0,46,0,40,41,2,negative
48,-3,80,0,46,-5,32,34,2,negative
51,-4,84,0,50,-4,34,35,2,negative
37,0,80,0,36,5,43,44,0,negative
53,0,104,1,54,4,51,49,0,negative
38,1,92,0,28,20,54,64,10,negative
37,0,76,1,26,0,40,50,10,negative
37,0,78,0,16,11,41,63,22,negative
37,0,77,0,38,17,39,38,0,negative
45,-1,77,-5,44,-8,32,33,0,negative
41,0,106,0,38,0,65,67,2,negative
37,0,76,4,28,-6,40,48,8,negative
48,0,87,8,46,0,39,41,2,negative
45,2,79,0,46,29,33,32,0,negative
37,0,95,0,28,29,58,67,8,negative
37,0,77,0,26,0,41,52,10,negative
37,4,81,0,36,-2,43,44,2,negative
37,0,77,0,24,-16,40,54,14,negative
42,2,77,8,42,0,35,36,0,negative
46,0,91,5,46,0,45,44,0,negative
37,0,76,-5,36,-15,39,40,2,negative
37,0,77,0,6,-10,40,72,32,negative
46,0,83,-1,44,-25,37,39,2,negative
43,0,81,-1,42,-13,37,39,2,negative
37,0,78,0,2,-13,41,75,34,negative
37,0,77,6,36,-7,39,41,2,negative
37,0,108,2,36,0,70,71,2,negative
43,-1,77,0,42,0,34,35,2,negative
45,0,87,2,44,-19,42,43,2,negative
51,-2,77,0,50,-13,26,28,2,negative
44,0,81,0,44,21,38,37,0,negative
37,0,105,-4,16,-21,68,89,22,negative
44,0,81,0,42,-18,38,40,2,negative
37,0,105,0,30,-8,68,74,6,negative
37,0,76,144,20,0,40,55,16,negative
39,-2,79,0,38,0,40,41,0,negative
47,5,82,0,46,0,35,35,0,negative
43,0,79,4,42,0,37,38,2,negative
42,2,86,0,42,0,44,45,0,negative
49,0,82,0,46,-8,33,35,2,negative
41,0,76,-2,38,0,35,37,2,negative
37,0,76,0,26,0,39,50,10,negative
37,0,77,0,0,0,41,77,36,negative
49,1,80,0,50,21,31,31,0,negative
37,0,84,0,26,9,47,58,10,negative
41,0,77,0,42,10,36,35,0,negative
44,0,84,0,44,4,40,41,0,negative
37,0,76,0,26,17,40,50,10,negative
56,0,80,0,54,-9,24,26,2,negative
56,1,86,0,56,8,30,29,0,negative
37,0,79,0,8,-12,43,72,28,negative
37,3,98,0,34,6,61,64,4,negative
46,0,83,-6,46,0,37,37,0,negative
37,0,80,0,8,23,43,72,28,negative
37,0,104,0,16,-16,67,89,22,negative
43,0,83,0,44,30,40,39,0,negative
41,-2,86,0,42,11,46,45,0,negative
53,2,79,0,54,28,26,24,0,negative
44,1,93,0,44,3,50,50,0,negative
37,-1,106,-15,28,0,69,78,8,negative
42,2,76,0,42,0,34,35,2,negative
39,0,85,2,38,0,46,46,0,negative
44,4,76,0,42,-14,32,34,2,negative
52,-3,86,0,52,0,34,34,0,negative
45,0,81,0,46,27,36,35,0,negative
43,0,86,-3,42,0,42,44,2,negative
37,0,79,0,8,8,42,71,28,negative
43,-1,77,0,42,-4,34,35,2,negative
41,1,84,0,38,-22,43,45,2,negative
53,-2,83,0,52,-19,30,32,2,negative
52,5,79,0,52,0,26,27,0,negative
55,0,88,-2,54,0,34,34,0,negative
37,0,77,0,26,-27,40,51,10,negative
43,0,85,5,44,14,42,41,0,negative
41,0,83,0,38,-21,42,44,2,negative
40,1,102,0,38,0,62,63,2,negative
44,2,83,5,44,12,40,39,0,negative
41,0,89,0,38,-23,48,50,2,negative
45,0,86,1,44,-3,41,42,2,negative
37,-4,77,0,36,0,40,41,0,negative
51,0,81,0,52,4,29,29,0,negative
43,0,81,-4,44,30,37,37,0,negative
43,0,86,-2,42,0,43,45,2,negative
45,-5,81,0,44,-3,36,37,2,negative
42,0,86,6,42,0,43,44,2,negative
55,1,79,0,54,0,23,24,2,negative
53,0,79,0,52,-11,26,27,2,negative
46,1,81,0,44,-23,35,37,2,negative
37,0,74,0,34,10,37,41,4,negative
44,3,76,-1,44,1,32,32,0,negative
45,0,84,1,46,22,39,38,0,negative
37,0,75,0,18,-18,38,57,18,negative
